vicon_t u v w x y z
1329939209.983375 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939209.991800 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.000102 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.008642 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.046543 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.059569 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.067021 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.075433 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.083767 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.092086 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.101704 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.112845 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.117037 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.125322 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.133523 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.141993 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.149944 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.158715 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.166483 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.175151 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.183614 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.191738 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.200392 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.208491 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.216623 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.226821 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.233664 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.242673 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.253577 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.258910 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.266924 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.275973 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.283916 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.292197 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.300823 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.309079 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.318812 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.325398 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.361549 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.365068 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.370189 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.375598 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.383825 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.392130 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.400547 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.409115 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.417263 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.425553 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.433792 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.442189 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.450753 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.459087 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.467168 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.476074 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.484095 2.222643 1.062707 0.775193 932.438538 18.420128 1497.097778
1329939210.492303 2.234919 1.067753 0.758051 932.434387 18.238167 1491.231079
1329939210.500941 2.244439 1.073413 0.741055 932.527466 18.153236 1485.664307
1329939210.509378 2.254325 1.079778 0.725633 932.828674 18.049355 1479.915649
1329939210.521950 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.525600 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.533783 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.542645 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.550479 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.560794 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.571542 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.576377 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.584510 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.592665 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.600888 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.609796 0.000000 0.000000 0.039624 54.783798 84.665901 17.772600
1329939210.617718 -0.148963 -0.591848 -0.188874 893.619080 182.163818 1336.545532
1329939210.625928 -0.145430 -0.581003 -0.186878 893.419495 182.174469 1331.783081
1329939210.634279 -0.142423 -0.570522 -0.185666 893.148682 182.131134 1327.081909
1329939210.642628 -0.139543 -0.558426 -0.184152 892.872559 182.108536 1322.549927
1329939210.650967 -0.137670 -0.547718 -0.183107 892.714844 182.077942 1317.978271
1329939210.659734 -0.136034 -0.536706 -0.182222 892.581604 182.120087 1313.434570
1329939210.667793 -0.133375 -0.523757 -0.180921 892.385742 182.082535 1309.145874
1329939210.676140 -0.131254 -0.512338 -0.180308 892.304382 182.140747 1304.784546
1329939210.684163 -0.128844 -0.500814 -0.179651 892.247375 182.214386 1300.499634
1329939210.692862 -0.126617 -0.489196 -0.178934 892.200500 182.291809 1296.265625
1329939210.701259 -0.124129 -0.477701 -0.178299 892.183594 182.367706 1292.172852
1329939210.709757 -0.122170 -0.466597 -0.177897 892.210449 182.473938 1288.064697
1329939210.718028 -0.120881 -0.456108 -0.176955 892.147400 182.678833 1284.244385
