vicon_t u v w x y z
1329939883.461252 -2.037427 2.410248 -0.006799 1039.267578 235.490204 1407.346558
1329939883.469352 -2.040877 2.419140 -0.002359 1038.117676 232.162506 1399.113770
1329939883.477659 -2.044229 2.427390 0.001594 1036.874634 228.969879 1391.045044
1329939883.485964 -2.047393 2.434951 0.005031 1035.535278 225.875824 1383.175903
1329939883.496325 -2.050474 2.441980 0.008307 1034.097900 222.873260 1375.503174
1329939883.502694 -2.053680 2.448595 0.011678 1032.584229 219.957855 1368.020386
1329939883.511089 -2.056928 2.454537 0.015272 1031.002686 217.172974 1360.732788
1329939883.523625 -2.060115 2.460223 0.018758 1029.336060 214.511475 1353.636597
1329939883.529543 -2.063344 2.466425 0.023123 1027.606445 212.042572 1346.769165
1329939883.536310 -2.066630 2.472028 0.026801 1025.700806 209.655243 1340.051514
1329939883.544607 -2.069543 2.477412 0.030888 1023.696716 207.406433 1333.533691
1329939883.552761 -2.071952 2.483023 0.034732 1021.578491 205.235626 1327.220703
1329939883.561556 -2.073899 2.488452 0.038068 1019.339050 203.138321 1321.121338
1329939883.569850 -2.075227 2.493525 0.041171 1017.033081 201.108948 1315.231323
1329939883.578201 -2.076658 2.497204 0.043461 1014.659912 199.212708 1309.597778
1329939883.589897 -2.077397 2.500673 0.045833 1012.230042 197.357208 1304.148315
1329939883.602689 -2.077964 2.503760 0.047874 1009.708374 195.543427 1299.140625
1329939883.617502 -2.078453 2.506105 0.050068 1007.266113 193.905426 1293.991089
1329939883.641671 -2.078466 2.508336 0.052732 1004.788574 192.430847 1289.057861
1329939883.665188 -2.078671 2.515699 0.071205 994.765259 187.404694 1271.171265
1329939883.679970 -2.076618 2.522566 0.091903 988.769592 183.864700 1259.693726
1329939883.686836 -2.072006 2.528282 0.108197 985.585266 181.170380 1252.966187
1329939883.698510 -2.068697 2.531364 0.117043 984.342529 179.842102 1249.916260
1329939883.702978 -2.064781 2.534438 0.125715 983.303955 178.595810 1247.067993
1329939883.711973 -2.060939 2.537440 0.133747 982.445496 177.423370 1244.443359
1329939883.720086 -2.057426 2.540266 0.140687 981.718445 176.375351 1242.042480
1329939883.728565 -2.054874 2.542865 0.146215 980.809692 175.577301 1239.766113
1329939883.736608 -2.053313 2.544542 0.149667 980.415222 174.731812 1237.892456
1329939883.746999 -2.052727 2.545420 0.150896 980.107300 173.993164 1236.284790
1329939883.753122 -2.053152 2.545478 0.150013 979.868042 173.355347 1234.901611
1329939883.761846 -2.054201 2.545012 0.147573 979.620667 172.785217 1233.758911
1329939883.770125 -2.055859 2.543970 0.143896 979.404053 172.267883 1232.829224
1329939883.778523 -2.057608 2.542428 0.139764 979.125793 171.768051 1232.058594
1329939883.786579 -2.059559 2.540203 0.135494 978.844055 171.298340 1231.489990
1329939883.795094 -2.061767 2.537493 0.131397 978.507751 170.830048 1231.117432
1329939883.803286 -2.064192 2.534295 0.127638 978.156494 170.387543 1230.880249
1329939883.811504 -2.066487 2.530737 0.124453 977.746033 169.955353 1230.769165
1329939883.820079 -2.068555 2.527309 0.121526 977.293030 169.546539 1230.813599
1329939883.828105 -2.069931 2.524265 0.118504 976.823425 169.181427 1230.957764
1329939883.836310 -2.070572 2.521631 0.115460 976.331299 168.838745 1231.188599
1329939883.844952 -2.070227 2.519409 0.111983 975.867981 168.568176 1231.469116
1329939883.853609 -2.068920 2.517343 0.107900 975.424927 168.329590 1231.802612
1329939883.861708 -2.066919 2.515298 0.103431 975.031494 168.160736 1232.168579
1329939883.870008 -2.064342 2.513308 0.098426 974.610168 168.036774 1232.759399
1329939883.878509 -2.061161 2.511007 0.093727 974.255981 167.960938 1233.172607
1329939883.886458 -2.057755 2.508814 0.089322 973.935486 167.928406 1233.560547
1329939883.894635 -2.054022 2.506714 0.085692 973.621094 167.948120 1233.936768
1329939883.909236 -2.050216 2.504773 0.082968 973.342346 168.019440 1234.260010
1329939883.912852 -2.046393 2.503265 0.081058 973.064392 168.090607 1234.550049
1329939883.919957 -2.042817 2.502014 0.079874 972.774048 168.170441 1234.794189
1329939883.928304 -2.039483 2.500925 0.079178 972.510315 168.229919 1234.999268
1329939883.936264 -2.036796 2.499793 0.079130 972.227234 168.289642 1235.149170
1329939883.944975 -2.034330 2.498532 0.079474 971.903015 168.378540 1234.959351
1329939883.952874 -2.032437 2.497196 0.079940 971.684937 168.376312 1235.058472
1329939883.964317 -2.030848 2.495870 0.080543 971.454285 168.366241 1235.109497
1329939883.970147 -2.029660 2.494366 0.081599 971.272339 168.350830 1235.104248
1329939883.978072 -2.028858 2.492970 0.082811 971.102356 168.326111 1235.105347
1329939883.986106 -2.028240 2.491405 0.084303 970.953979 168.331329 1235.017334
1329939883.995233 -2.027974 2.489753 0.086029 970.840637 168.358948 1234.899048
1329939884.002917 -2.027894 2.488189 0.087629 970.717896 168.412079 1234.741577
1329939884.011512 -2.028192 2.486687 0.089696 970.624390 168.512878 1234.493408
1329939884.019616 -2.028921 2.485465 0.091292 970.529236 168.635559 1234.253784
1329939884.028327 -2.030180 2.484505 0.093329 970.421631 168.806152 1233.905640
1329939884.036177 -2.031854 2.483924 0.095177 970.293213 168.986420 1233.543091
1329939884.044259 -2.033886 2.483467 0.097096 970.180542 169.201660 1233.079590
1329939884.052995 -2.036160 2.483214 0.098701 970.048096 169.406158 1232.621216
1329939884.062565 -2.038334 2.483149 0.100176 969.891541 169.645111 1232.107544
1329939884.069432 -2.040680 2.483278 0.101725 969.737976 169.883301 1231.619507
1329939884.077947 -2.042793 2.483485 0.103184 969.566345 170.128830 1231.088745
1329939884.086141 -2.045048 2.483984 0.104441 969.400513 170.371490 1230.611938
1329939884.094400 -2.047278 2.484321 0.105759 969.222412 170.627289 1230.084351
1329939884.102972 -2.049401 2.484665 0.107215 969.017090 170.915466 1229.539429
1329939884.116771 -2.051582 2.485152 0.108475 968.789368 171.207458 1229.066895
1329939884.119663 -2.053711 2.485608 0.110149 968.549805 171.528107 1228.546631
1329939884.128221 -2.055680 2.486110 0.111617 968.306335 171.838074 1228.063110
1329939884.136097 -2.057488 2.486825 0.112994 968.050598 172.118103 1227.632324
1329939884.144351 -2.058837 2.487367 0.114097 967.821106 172.379883 1227.170410
1329939884.152878 -2.059949 2.487844 0.114888 967.628296 172.600189 1226.760742
1329939884.169797 -2.060663 2.487973 0.115303 967.459351 172.799561 1226.362915
1329939884.184642 -2.061266 2.488029 0.115218 967.309814 172.955505 1226.031128
1329939884.208685 -2.062589 2.487406 0.114812 967.108643 173.259674 1225.400635
1329939884.211642 -2.065967 2.486305 0.114529 966.596069 174.063049 1224.502563
1329939884.219239 -2.067493 2.485660 0.115283 966.543701 174.335815 1224.278809
1329939884.227902 -2.069009 2.484740 0.116517 966.392334 174.673126 1224.038086
1329939884.244314 -2.070487 2.483660 0.118054 966.234558 175.012695 1223.853638
1329939884.256657 -2.071702 2.482523 0.120067 966.073853 175.369965 1223.700073
1329939884.261426 -2.073439 2.479423 0.124142 965.797668 176.107361 1223.729492
1329939884.269283 -2.073765 2.477912 0.126005 965.805786 176.465332 1223.585938
1329939884.277559 -2.073769 2.476292 0.127815 965.761108 176.877533 1223.618530
1329939884.286332 -2.073430 2.474886 0.129239 965.719421 177.322327 1223.726318
1329939884.294672 -2.072889 2.473742 0.130487 965.682983 177.796997 1223.869751
1329939884.302692 -2.072184 2.472700 0.131763 965.668579 178.293854 1223.995605
1329939884.311339 -2.071479 2.471795 0.133309 965.657471 178.848572 1224.144165
1329939884.319225 -2.070717 2.470783 0.135015 965.652283 179.436035 1224.282227
1329939884.327365 -2.070311 2.469869 0.137152 965.642456 180.029633 1224.461914
1329939884.336109 -2.070034 2.468874 0.139517 965.620300 180.658844 1224.625610
1329939884.344336 -2.069965 2.467806 0.142406 965.597839 181.309967 1224.813843
1329939884.352654 -2.070052 2.466457 0.145557 965.588562 181.972809 1225.001099
1329939884.361055 -2.070242 2.465145 0.148828 965.569519 182.636475 1225.248413
1329939884.369062 -2.070415 2.463707 0.151829 965.562134 183.295593 1225.495483
1329939884.377581 -2.070543 2.462194 0.154559 965.562073 183.960602 1225.769897
1329939884.386155 -2.070986 2.460731 0.156597 965.585388 184.623566 1226.111206
1329939884.397562 -2.071451 2.459260 0.157770 965.597229 185.308228 1226.409546
1329939884.402395 -2.072052 2.457853 0.158228 965.600830 186.021423 1226.707642
1329939884.411102 -2.073139 2.456489 0.157797 965.605286 186.751694 1227.027466
1329939884.418855 -2.074354 2.455118 0.156609 965.588928 187.544373 1227.304077
1329939884.427540 -2.075886 2.453887 0.154832 965.563721 188.366669 1227.578125
1329939884.438514 -2.077674 2.452518 0.152688 965.534851 189.216125 1227.818848
1329939884.444151 -2.079705 2.451324 0.150229 965.491821 190.064697 1228.070679
1329939884.452472 -2.081686 2.449871 0.147965 965.447144 190.909454 1228.245850
1329939884.461204 -2.083555 2.448589 0.145622 965.409241 191.735504 1228.458984
1329939884.468902 -2.085331 2.447177 0.143811 965.402771 192.522919 1228.615112
1329939884.477308 -2.086782 2.445856 0.142153 965.394592 193.258698 1228.755737
1329939884.486178 -2.088120 2.444499 0.140699 965.427673 193.973145 1228.894409
