imu_t vicon_t accel_x accel_y accel_z gyro_x gyro_y gyro_z
18.305639 1329703803.546671 505 509 596 373 364 378
18.305639 1329703803.554919 514 508 597 371 369 375
18.328182 1329703803.568010 528 501 598 371 381 369
18.328182 1329703803.571420 528 496 601 368 392 364
18.369331 1329703803.586474 524 500 602 369 394 365
18.369331 1329703803.600539 525 513 604 368 392 363
18.410807 1329703803.615055 530 516 604 362 389 354
18.410807 1329703803.621633 536 510 604 344 386 350
18.452253 1329703803.630081 540 508 605 320 380 345
18.452253 1329703803.638366 539 509 605 296 374 343
18.500283 1329703803.646685 540 516 606 267 366 342
18.500283 1329703803.654923 542 517 604 233 360 339
18.527723 1329703803.663223 544 517 603 198 354 339
18.527723 1329703803.671532 542 522 601 167 348 341
18.568681 1329703803.680290 540 529 600 142 348 343
18.568681 1329703803.695854 537 533 600 127 351 347
18.610956 1329703803.698989 532 537 596 124 348 354
18.610956 1329703803.704876 534 542 591 138 342 357
18.658800 1329703803.713379 531 549 584 153 337 361
18.658800 1329703803.721540 524 558 579 170 333 367
18.694155 1329703803.730219 519 565 573 200 330 373
18.694155 1329703803.738116 511 573 569 231 332 377
18.727664 1329703803.746924 508 576 565 262 332 379
18.727664 1329703803.754819 503 578 561 295 332 382
18.767908 1329703803.763289 504 582 557 328 335 384
18.767908 1329703803.771289 502 587 554 354 342 383
18.808916 1329703803.788056 502 591 554 386 351 382
18.808916 1329703803.791242 503 590 554 417 359 379
18.858057 1329703803.796530 501 588 556 446 369 377
18.858057 1329703803.804712 500 587 558 472 383 377
18.893297 1329703803.813171 501 584 561 500 394 376
18.893297 1329703803.821763 506 577 566 527 402 377
18.926617 1329703803.829856 508 569 571 549 409 376
18.926617 1329703803.838541 509 562 576 565 418 379
18.968667 1329703803.846622 513 556 582 575 420 381
18.968667 1329703803.854618 516 548 589 577 420 381
19.009967 1329703803.863135 518 541 594 574 418 384
19.009967 1329703803.871695 522 535 599 566 412 386
19.051458 1329703803.880079 524 527 605 556 407 390
19.051458 1329703803.896692 529 520 606 545 401 391
19.086536 1329703803.904853 531 517 607 528 393 394
19.086536 1329703803.912946 533 517 607 506 387 394
19.129511 1329703803.921868 533 515 606 486 378 393
19.129511 1329703803.929499 535 511 604 473 360 392
19.168117 1329703803.938352 535 513 602 459 349 390
19.168117 1329703803.947718 530 517 600 446 349 384
19.210066 1329703803.954980 532 515 597 433 349 378
19.210066 1329703803.963120 531 510 596 422 350 372
19.251871 1329703803.971683 528 505 597 415 356 365
19.251871 1329703803.979654 527 508 595 408 370 358
19.293580 1329703803.988489 521 506 596 401 378 352
19.293580 1329703803.996531 515 498 598 397 378 352
19.326965 1329703804.004631 510 495 599 398 380 355
19.326965 1329703804.012964 510 497 599 395 388 356
19.368641 1329703804.021443 511 499 601 392 392 356
19.368641 1329703804.029539 509 493 603 394 388 357
19.410598 1329703804.038240 502 491 605 391 387 361
19.410598 1329703804.046348 501 495 606 386 392 366
19.452222 1329703804.057133 506 499 607 378 399 364
19.452222 1329703804.063107 502 496 607 371 401 366
19.493827 1329703804.071257 506 491 609 367 396 370
19.493827 1329703804.079189 507 494 611 364 396 370
19.530041 1329703804.088235 504 500 612 358 400 370
19.530041 1329703804.096379 507 497 612 357 402 372
19.567998 1329703804.112119 507 494 613 361 398 373
19.567998 1329703804.135800 505 495 614 366 388 375
19.610934 1329703804.148313 506 500 615 364 386 375
19.610934 1329703804.154355 510 501 615 361 385 373
19.646942 1329703804.163102 509 500 616 364 384 374
19.646942 1329703804.171126 508 502 616 372 374 376
19.687791 1329703804.179727 510 505 616 379 366 377
19.687791 1329703804.191267 509 504 614 383 361 375
19.727469 1329703804.196392 510 500 612 387 353 372
19.727469 1329703804.204157 509 500 612 392 347 370
19.768207 1329703804.212942 509 502 609 393 347 368
19.768207 1329703804.221556 508 501 607 388 352 363
19.807075 1329703804.229699 507 496 606 380 358 359
19.807075 1329703804.237622 506 493 607 373 362 357
19.851357 1329703804.246122 511 497 604 369 366 359
19.851357 1329703804.254554 505 498 604 366 366 361
19.893799 1329703804.262983 508 496 604 364 367 360
19.893799 1329703804.270989 506 494 604 364 370 362
19.961257 1329703804.279683 506 494 603 365 369 363
19.961257 1329703804.287578 506 495 602 369 372 365
19.975776 1329703804.319777 507 497 601 373 373 368
19.975776 1329703804.333796 508 498 602 374 376 367
20.009753 1329703804.337841 509 498 603 376 380 365
