vicon_t u v w x y z
1329704234.159101 0.110823 -0.377829 0.400939 953.241333 -24.373344 1206.236084
1329704234.167544 0.109904 -0.337935 0.411668 952.598572 -22.279282 1206.798706
1329704234.175799 0.109844 -0.297318 0.422116 951.909424 -20.220245 1207.520264
1329704234.183481 0.092340 -0.277859 0.428121 951.841248 -17.637779 1205.653320
1329704234.192120 0.075474 -0.260257 0.433713 951.651794 -14.962471 1203.565552
1329704234.200950 0.068443 -0.236091 0.440459 951.152710 -12.363884 1202.287598
1329704234.208861 0.063577 -0.212010 0.447337 950.509521 -9.781685 1201.061523
1329704234.217417 0.058828 -0.190364 0.453756 949.814880 -7.203651 1199.590454
1329704234.237832 0.054836 -0.170273 0.460085 948.992981 -4.650848 1197.998657
1329704234.241669 0.047843 -0.135082 0.471615 947.080139 0.332390 1194.346802
1329704234.250530 0.045633 -0.118565 0.477060 945.980408 2.737785 1192.509155
1329704234.258929 0.044733 -0.102293 0.482029 944.845154 5.123802 1190.741821
1329704234.267232 0.043979 -0.087508 0.487443 943.587036 7.366898 1188.901489
1329704234.275796 0.044286 -0.072943 0.492489 942.283875 9.575920 1187.152466
1329704234.293648 0.045433 -0.059103 0.497309 940.936646 11.731712 1185.429932
1329704234.317074 0.046392 -0.046777 0.502167 939.514954 13.815010 1183.643799
1329704234.325471 0.055023 -0.005693 0.520174 933.261230 21.572067 1176.661865
1329704234.333793 0.058378 0.003712 0.524744 931.587952 23.300148 1175.089478
1329704234.342306 0.061199 0.011495 0.528961 929.908264 24.974960 1173.449707
1329704234.350547 0.063378 0.018032 0.533178 928.193054 26.556789 1171.775024
1329704234.358912 0.066114 0.024272 0.537296 926.475403 28.068428 1170.194092
1329704234.368822 0.068484 0.029157 0.541397 924.750061 29.535332 1168.604248
1329704234.375420 0.071623 0.034217 0.545384 923.049255 30.941101 1167.144775
1329704234.383737 0.074171 0.038274 0.549182 921.375305 32.328045 1165.702515
1329704234.391778 0.077525 0.042984 0.553034 919.724609 33.631844 1164.456665
1329704234.400590 0.080207 0.047137 0.556729 918.126343 34.910007 1163.244385
1329704234.408758 0.082515 0.051000 0.560283 916.565552 36.150669 1162.098022
1329704234.425470 0.084262 0.054597 0.563668 915.066589 37.343063 1161.008667
1329704234.440323 0.088003 0.063363 0.570268 912.204773 39.627335 1159.286743
1329704234.443737 0.088402 0.066461 0.573088 910.841736 40.765049 1158.369873
1329704234.450411 0.089130 0.069941 0.576079 909.495789 41.837631 1157.594482
1329704234.458764 0.089503 0.073002 0.579045 908.201843 42.875782 1156.864868
1329704234.467293 0.089961 0.075664 0.582180 906.938049 43.878647 1156.182861
1329704234.475097 0.090123 0.077622 0.585262 905.721924 44.833439 1155.501587
1329704234.491550 0.091551 0.080398 0.588433 904.556519 45.731483 1155.006470
