vicon_t u v w x y z
1329940017.637555 3.153466 0.108002 -0.043249 890.728638 173.479614 1147.179077
1329940017.645240 3.153336 0.108041 -0.043843 890.798218 173.390991 1147.156494
1329940017.660866 3.153204 0.107979 -0.044568 890.857605 173.299194 1147.147583
1329940017.675137 3.153059 0.108007 -0.045605 890.923828 173.193176 1147.165405
1329940017.678890 3.152814 0.107659 -0.047143 890.996460 172.997925 1147.236816
1329940017.687615 3.152809 0.107416 -0.047437 891.054932 172.889542 1147.205078
1329940017.695655 3.152685 0.107189 -0.047254 891.090942 172.786255 1147.249268
1329940017.703383 3.152690 0.106847 -0.046775 891.099365 172.691650 1147.282104
1329940017.712095 3.152678 0.106490 -0.045906 891.112915 172.591034 1147.316406
1329940017.727907 3.152675 0.106204 -0.044833 891.124146 172.483276 1147.360229
1329940017.732976 3.152625 0.105818 -0.043946 891.122559 172.375931 1147.418945
1329940017.737475 3.152684 0.105456 -0.043114 891.140564 172.250366 1147.469971
1329940017.745645 3.152775 0.104935 -0.042482 891.147522 172.135330 1147.531860
1329940017.753480 3.152895 0.104573 -0.042080 891.172302 172.005768 1147.609619
1329940017.762253 3.153192 0.104073 -0.041773 891.194092 171.881775 1147.675903
1329940017.770512 3.153386 0.103414 -0.041410 891.195862 171.744080 1147.769531
1329940017.778999 3.153714 0.102720 -0.041033 891.210083 171.611694 1147.837891
1329940017.787128 3.153826 0.102057 -0.040647 891.227783 171.491226 1147.946533
1329940017.795643 3.153820 0.101540 -0.040344 891.250671 171.372223 1148.058350
1329940017.803035 3.153755 0.100895 -0.040201 891.269165 171.265060 1148.156738
1329940017.812065 3.153617 0.100427 -0.040098 891.297302 171.160828 1148.238037
1329940017.830908 3.153487 0.100001 -0.040202 891.322693 171.077316 1148.309448
1329940017.837151 3.153209 0.099118 -0.040403 891.398438 170.925751 1148.494385
1329940017.845473 3.153225 0.098794 -0.040469 891.496643 170.838501 1148.536987
1329940017.853880 3.153244 0.098495 -0.040506 891.557495 170.757416 1148.636353
1329940017.861553 3.153294 0.098270 -0.040143 891.639038 170.683441 1148.726318
1329940017.870310 3.153346 0.097991 -0.039694 891.713501 170.598511 1148.843140
1329940017.885809 3.153359 0.097876 -0.039042 891.783020 170.521378 1148.954956
1329940017.897161 3.153378 0.097843 -0.038263 891.852356 170.455811 1149.061523
1329940017.904059 3.153046 0.098094 -0.036661 892.020874 170.331329 1149.301025
1329940017.912221 3.152790 0.098321 -0.036171 892.067383 170.286865 1149.428955
1329940017.920224 3.152447 0.098578 -0.035477 892.128662 170.242065 1149.534668
1329940017.928808 3.152157 0.098939 -0.035137 892.207886 170.205505 1149.656860
1329940017.937062 3.151897 0.099308 -0.034845 892.273804 170.157257 1149.771118
1329940017.952661 3.151681 0.099649 -0.034557 892.329041 170.123459 1149.874023
1329940017.955467 3.151618 0.099826 -0.034497 892.367126 170.087952 1149.976685
